date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,source_url
2023-07-14,Afghanistan,Bangladesh,N)-Afghanistan in Bangladesh T20I Series 2023 1st T20I (D/N)-Afghanistan in Bangladesh T20I Series 2023 T20I 1ST Sylhet International Cricket Stadium,,,T20,2023,Bangladesh,https://cricstats.in/live-cricket-score/6223688/afghanistan-in-bangladesh-t20i-series/scorecard
2023-07-16,Afghanistan,Bangladesh,N)-Afghanistan in Bangladesh T20I Series 2023 2nd T20I (D/N)-Afghanistan in Bangladesh T20I Series 2023 T20I 2ND Sylhet International Cricket Stadium,,,T20,2023,Bangladesh,https://cricstats.in/live-cricket-score/3579894/afghanistan-in-bangladesh-t20i-series/scorecard
2023-10-04,Afghanistan,Sri Lanka,in China) 2023 3rd Quarter-Final -Asian Games Men&#x27;s Cricket Competition (in China) 2023 T20I 3RD Zhejiang University of Technology Cricket Field,,,T20,2023,Afghanistan,https://cricstats.in/live-cricket-score/9612589/asian-games-menandx27s-cricket-competition-in-china/scorecard
2023-10-06,Pakistan,Afghanistan,n (in China) 2023 2nd Semi-Final -Asian Games Men&#x27;s Cricket Competition (in China) 2023 T20I 2ND Zhejiang University of Technology Cricket Field,,,T20,2023,Afghanistan,https://cricstats.in/live-cricket-score/4755867/asian-games-menandx27s-cricket-competition-in-china/scorecard
2023-10-07,Afghanistan,India,petition (in China) 2023 Final -Asian Games Men&#x27;s Cricket Competition (in China) 2023 T20I FINAL Zhejiang University of Technology Cricket Field,,,T20,2023,No Result,https://cricstats.in/live-cricket-score/2635648/asian-games-menandx27s-cricket-competition-in-china/scorecard
2023-12-29,Afghanistan,United Arab Emirates,nistan in United Arab Emirates T20I Series 2023 1st T20I (D/N) -Afghanistan in United Arab Emirates T20I Series 2023 T20I 1ST Sharjah Cricket Stadium,,,T20,2023,Afghanistan,https://cricstats.in/live-cricket-score/3665436/afghanistan-in-united-arab-emirates-t20i-series/scorecard
2023-12-31,United Arab Emirates,Afghanistan,nistan in United Arab Emirates T20I Series 2023 2nd T20I (D/N) -Afghanistan in United Arab Emirates T20I Series 2023 T20I 2ND Sharjah Cricket Stadium,,,T20,2023,United Arab Emirates,https://cricstats.in/live-cricket-score/4312270/afghanistan-in-united-arab-emirates-t20i-series/scorecard
2024-01-02,United Arab Emirates,Afghanistan,nistan in United Arab Emirates T20I Series 2023 3rd T20I (D/N) -Afghanistan in United Arab Emirates T20I Series 2023 T20I 3RD Sharjah Cricket Stadium,,,T20,2024,Afghanistan,https://cricstats.in/live-cricket-score/4294470/afghanistan-in-united-arab-emirates-t20i-series/scorecard
2024-01-11,Afghanistan,India,"India T20I Series 2024 1st T20I (N) -Afghanistan in India T20I Series 2024 T20I 1ST Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",,,T20,2024,India,https://cricstats.in/live-cricket-score/7408807/afghanistan-in-india-t20i-series/scorecard
2024-01-14,Afghanistan,India,"ies / 2nd T20I (N) -Afghanistan in India T20I Series 2024 2nd T20I (N) -Afghanistan in India T20I Series 2024 T20I 2ND Holkar Cricket Stadium, Indore",,,T20,2024,India,https://cricstats.in/live-cricket-score/7934259/afghanistan-in-india-t20i-series/scorecard
2024-01-17,India,Afghanistan,"s / 3rd T20I (N) -Afghanistan in India T20I Series 2024 3rd T20I (N) -Afghanistan in India T20I Series 2024 T20I 3RD M Chinnaswamy Stadium, Bengaluru",,,T20,2024,India,https://cricstats.in/live-cricket-score/6868928/afghanistan-in-india-t20i-series/scorecard
2024-02-17,Sri Lanka,Afghanistan,N) -Afghanistan in Sri Lanka T20I Series 2024 1st T20I (N) -Afghanistan in Sri Lanka T20I Series 2024 T20I 1ST Rangiri Dambulla International Stadium,,,T20,2024,Sri Lanka,https://cricstats.in/live-cricket-score/5803619/afghanistan-in-sri-lanka-t20i-series/scorecard
2024-02-19,Sri Lanka,Afghanistan,N) -Afghanistan in Sri Lanka T20I Series 2024 2nd T20I (N) -Afghanistan in Sri Lanka T20I Series 2024 T20I 2ND Rangiri Dambulla International Stadium,,,T20,2024,Sri Lanka,https://cricstats.in/live-cricket-score/4997197/afghanistan-in-sri-lanka-t20i-series/scorecard
2024-02-21,Afghanistan,Sri Lanka,N) -Afghanistan in Sri Lanka T20I Series 2024 3rd T20I (N) -Afghanistan in Sri Lanka T20I Series 2024 T20I 3RD Rangiri Dambulla International Stadium,,,T20,2024,Afghanistan,https://cricstats.in/live-cricket-score/2587235/afghanistan-in-sri-lanka-t20i-series/scorecard
2024-03-15,Ireland,Afghanistan,Series (in United Arab Emirates) 2024 1st T20I (N) -Afghanistan v Ireland T20I Series (in United Arab Emirates) 2024 T20I 1ST Sharjah Cricket Stadium,,,T20,2024,Ireland,https://cricstats.in/live-cricket-score/8246639/afghanistan-v-ireland-t20i-series-in-united-arab-emirates/scorecard
2024-03-17,Afghanistan,Ireland,Series (in United Arab Emirates) 2024 2nd T20I (N) -Afghanistan v Ireland T20I Series (in United Arab Emirates) 2024 T20I 2ND Sharjah Cricket Stadium,,,T20,2024,Afghanistan,https://cricstats.in/live-cricket-score/5650238/afghanistan-v-ireland-t20i-series-in-united-arab-emirates/scorecard
