date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2005-02-17,New Zealand,Australia,Eden Park,Australia,bat,T20,2004/05,Australia
2005-06-13,England,Australia,The Rose Bowl,England,bat,T20,2005,England
2005-10-21,South Africa,New Zealand,New Wanderers Stadium,New Zealand,field,T20,2005/06,New Zealand
2006-01-09,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,T20,2005/06,Australia
2006-02-16,New Zealand,West Indies,Eden Park,New Zealand,field,T20,2005/06,No Result
2006-02-24,South Africa,Australia,New Wanderers Stadium,South Africa,bat,T20,2005/06,South Africa
2006-06-15,England,Sri Lanka,The Rose Bowl,Sri Lanka,bat,T20,2006,Sri Lanka
2006-08-28,England,Pakistan,County Ground,England,bat,T20,2006,Pakistan
2006-12-01,South Africa,India,New Wanderers Stadium,South Africa,bat,T20,2006/07,India
2006-12-22,New Zealand,Sri Lanka,Westpac Stadium,New Zealand,bat,T20,2006/07,Sri Lanka
2006-12-26,New Zealand,Sri Lanka,Eden Park,New Zealand,field,T20,2006/07,New Zealand
2007-01-09,Australia,England,Sydney Cricket Ground,Australia,bat,T20,2006/07,Australia
2007-06-28,England,West Indies,Kennington Oval,West Indies,bat,T20,2007,West Indies
2007-06-29,England,West Indies,Kennington Oval,West Indies,bat,T20,2007,England
2007-09-01,Kenya,Bangladesh,Gymkhana Club Ground,Bangladesh,field,T20,2007/08,Bangladesh
2007-09-02,Bangladesh,Pakistan,Gymkhana Club Ground,Bangladesh,field,T20,2007/08,Pakistan
2007-09-04,Kenya,Pakistan,Gymkhana Club Ground,Kenya,bat,T20,2007/08,Pakistan
2007-09-11,South Africa,West Indies,New Wanderers Stadium,South Africa,field,T20,2007/08,South Africa
2007-09-12,Pakistan,Scotland,Kingsmead,Scotland,field,T20,2007/08,Pakistan
2007-09-12,Australia,Zimbabwe,Newlands,Australia,bat,T20,2007/08,Zimbabwe
2007-09-12,Kenya,New Zealand,Kingsmead,New Zealand,field,T20,2007/08,New Zealand
2007-09-13,Bangladesh,West Indies,New Wanderers Stadium,Bangladesh,field,T20,2007/08,Bangladesh
2007-09-13,England,Zimbabwe,Newlands,England,bat,T20,2007/08,England
2007-09-14,Kenya,Sri Lanka,New Wanderers Stadium,Kenya,field,T20,2007/08,Sri Lanka
2007-09-14,India,Pakistan,Kingsmead,Pakistan,field,T20,2007/08,No Result
2007-09-14,Australia,England,Newlands,England,bat,T20,2007/08,Australia
2007-09-15,New Zealand,Sri Lanka,New Wanderers Stadium,New Zealand,bat,T20,2007/08,Sri Lanka
2007-09-15,South Africa,Bangladesh,Newlands,South Africa,field,T20,2007/08,South Africa
2007-09-16,India,New Zealand,New Wanderers Stadium,India,field,T20,2007/08,New Zealand
2007-09-16,South Africa,England,Newlands,England,field,T20,2007/08,South Africa
2007-09-16,Australia,Bangladesh,Newlands,Australia,field,T20,2007/08,Australia
2007-09-17,Pakistan,Sri Lanka,New Wanderers Stadium,Sri Lanka,field,T20,2007/08,Pakistan
2007-09-18,Bangladesh,Sri Lanka,New Wanderers Stadium,Bangladesh,field,T20,2007/08,Sri Lanka
2007-09-18,Australia,Pakistan,New Wanderers Stadium,Pakistan,field,T20,2007/08,Pakistan
2007-09-18,England,New Zealand,Kingsmead,England,field,T20,2007/08,New Zealand
2007-09-19,England,India,Kingsmead,India,bat,T20,2007/08,India
2007-09-19,South Africa,New Zealand,Kingsmead,South Africa,field,T20,2007/08,South Africa
2007-09-20,Bangladesh,Pakistan,Newlands,Pakistan,field,T20,2007/08,Pakistan
2007-09-20,South Africa,India,Kingsmead,India,bat,T20,2007/08,India
2007-09-20,Australia,Sri Lanka,Newlands,Australia,field,T20,2007/08,Australia
2007-09-22,New Zealand,Pakistan,Newlands,New Zealand,bat,T20,2007/08,Pakistan
2007-09-22,Australia,India,Kingsmead,India,bat,T20,2007/08,India
2007-09-24,India,Pakistan,New Wanderers Stadium,India,bat,T20,2007/08,India
2007-10-20,India,Australia,Brabourne Stadium,Australia,bat,T20,2007/08,India
2007-11-23,South Africa,New Zealand,New Wanderers Stadium,South Africa,field,T20,2007/08,South Africa
2007-12-11,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,bat,T20,2007/08,Australia
2007-12-16,South Africa,West Indies,St George's Park,West Indies,field,T20,2007/08,West Indies
2008-01-18,South Africa,West Indies,New Wanderers Stadium,South Africa,field,T20,2007/08,South Africa
2008-02-01,Australia,India,Melbourne Cricket Ground,India,bat,T20,2007/08,Australia
2008-02-05,New Zealand,England,Eden Park,New Zealand,field,T20,2007/08,England
2008-02-07,New Zealand,England,Jade Stadium,England,bat,T20,2007/08,England
2008-04-20,Pakistan,Bangladesh,National Stadium,Pakistan,bat,T20,2007/08,Pakistan
2008-06-13,England,New Zealand,Old Trafford,England,field,T20,2008,England
2008-06-20,West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,field,T20,2008,West Indies
2008-08-03,Bermuda,Scotland,"Civil Service Cricket Club, Stormont",Scotland,field,T20,2008,Scotland
2008-08-04,Ireland,Kenya,"Civil Service Cricket Club, Stormont",Ireland,field,T20,2008,Ireland
