date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate
2005-02-17,New Zealand,Australia,Eden Park,Australia,bat,T20,2004/05,Australia,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2005-06-13,England,Australia,The Rose Bowl,England,bat,T20,2005,England,1,1,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5
2005-10-21,South Africa,New Zealand,New Wanderers Stadium,New Zealand,field,T20,2005/06,New Zealand,0,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5
2006-01-09,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,T20,2005/06,Australia,1,1,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5
2006-02-24,South Africa,Australia,New Wanderers Stadium,South Africa,bat,T20,2005/06,South Africa,1,1,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.5
2006-06-15,England,Sri Lanka,The Rose Bowl,Sri Lanka,bat,T20,2006,Sri Lanka,0,0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5
2006-08-28,England,Pakistan,County Ground,England,bat,T20,2006,Pakistan,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2006-12-01,South Africa,India,New Wanderers Stadium,South Africa,bat,T20,2006/07,India,0,1,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5
2006-12-22,New Zealand,Sri Lanka,Westpac Stadium,New Zealand,bat,T20,2006/07,Sri Lanka,0,1,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5
2006-12-26,New Zealand,Sri Lanka,Eden Park,New Zealand,field,T20,2006/07,New Zealand,1,1,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.5
2007-01-09,Australia,England,Sydney Cricket Ground,Australia,bat,T20,2006/07,Australia,1,1,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,0.5,0.5
2007-06-28,England,West Indies,Kennington Oval,West Indies,bat,T20,2007,West Indies,0,0,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5
2007-06-29,England,West Indies,Kennington Oval,West Indies,bat,T20,2007,England,1,0,0.2,1.0,0.2,1.0,0.0,1.0,0.0,1.0
2007-09-01,Kenya,Bangladesh,Gymkhana Club Ground,Bangladesh,field,T20,2007/08,Bangladesh,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2007-09-02,Bangladesh,Pakistan,Gymkhana Club Ground,Bangladesh,field,T20,2007/08,Pakistan,0,1,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5
2007-09-04,Kenya,Pakistan,Gymkhana Club Ground,Kenya,bat,T20,2007/08,Pakistan,0,1,0.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0
2007-09-11,South Africa,West Indies,New Wanderers Stadium,South Africa,field,T20,2007/08,South Africa,1,1,0.25,0.5,0.25,0.5,0.5,0.5,0.3333333333333333,0.5
2007-09-12,Kenya,New Zealand,Kingsmead,New Zealand,field,T20,2007/08,New Zealand,0,0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
