date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,actual,predicted,team1_probability,team2_probability,correct_prediction,confidence,confidence_level,year,historical_difference
2025-07-22,South Africa,New Zealand,Harare Sports Club,New Zealand,field,T20,2025,New Zealand,0,0,0.5572916666666666,0.5586854460093896,0.8,0.8,0.6875,0.3125,0.6666666666666666,1.0,0,0,0.46713296476878313,0.5328670352312168,True,0.5328670352312168,LOW,2025,0.0013937793427230005
2025-07-22,Malawi,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Malawi,bat,T20,2025,Rwanda,0,1,0.4,0.2911392405063291,0.0,0.2,0.3333333333333333,0.6666666666666666,0.0,0.1515151515151515,0,0,0.45908317392003856,0.5409168260799615,True,0.5409168260799615,LOW,2025,0.10886075949367091
2025-07-22,Samoa,Singapore,Singapore National Cricket Ground,Samoa,bat,T20,2025,Singapore,0,1,0.2857142857142857,0.3620689655172414,0.2,0.4,0.0,1.0,0.0,0.1666666666666666,0,0,0.31092583189929734,0.6890741681007027,True,0.6890741681007027,MEDIUM,2025,0.07635467980295568
2025-07-22,West Indies,Australia,"Sabina Park, Kingston, Jamaica",Australia,field,T20,2025,Australia,0,0,0.4472361809045226,0.5743589743589743,0.2,0.8,0.4782608695652174,0.5217391304347826,0.5714285714285714,1.0,0,0,0.36008715122944024,0.6399128487705598,True,0.6399128487705598,MEDIUM,2025,0.1271227934544517
2025-07-22,Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat,T20,2025,Uganda,1,1,0.7978723404255319,0.4929577464788732,1.0,0.2,1.0,0.0,0.875,0.1111111111111111,1,1,0.7910514993743877,0.20894850062561232,True,0.7910514993743877,HIGH,2025,0.3049145939466587
2025-07-22,Qatar,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Saudi Arabia,field,T20,2025,Qatar,1,0,0.4883720930232558,0.5531914893617021,0.2,0.6,0.6,0.4,0.6428571428571429,0.4166666666666667,1,0,0.4889644850523909,0.5110355149476091,False,0.5110355149476091,LOW,2025,0.06481939633844636
2025-07-22,Bahrain,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,T20,2025,Bahrain,1,0,0.5925925925925926,0.2948717948717949,0.8,0.2,1.0,0.0,1.0,0.15625,1,1,0.7679813229414277,0.23201867705857226,True,0.7679813229414277,HIGH,2025,0.2977207977207977
2025-07-23,Bahrain,Malawi,"Gahanga International Cricket Stadium, Rwanda",Bahrain,bat,T20,2025,Bahrain,1,1,0.5975609756097561,0.3846153846153846,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0.805350210369575,0.194649789630425,True,0.805350210369575,HIGH,2025,0.2129455909943715
2025-07-23,Kenya,United Arab Emirates,Entebbe Cricket Oval,Kenya,bat,T20,2025,United Arab Emirates,0,1,0.5476190476190477,0.5784313725490197,0.6,0.6,0.5,0.5,0.5714285714285714,0.5,0,0,0.4795788673410324,0.5204211326589676,True,0.5204211326589676,LOW,2025,0.03081232492997199
2025-07-23,Rwanda,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,T20,2025,Malawi,0,0,0.3,0.3703703703703703,0.4,0.0,0.7142857142857143,0.2857142857142857,0.1764705882352941,0.0,0,1,0.6002575237057758,0.3997424762942242,False,0.6002575237057758,MEDIUM,2025,0.0703703703703703
2025-07-23,Samoa,Hong Kong,Singapore National Cricket Ground,Hong Kong,field,T20,2025,Hong Kong,0,0,0.2666666666666666,0.4747474747474747,0.2,0.6,0.0,1.0,0.0,0.5,0,0,0.24320565906835545,0.7567943409316445,True,0.7567943409316445,HIGH,2025,0.2080808080808081
