date,team1,team2,winner,actual_team1_won,champion_prediction,ablation_prediction,challenger_prediction,champion_correct,ablation_correct,challenger_correct
2025-07-22,Bahrain,Rwanda,Bahrain,1,1,1,1,True,True,True
2025-07-22,Bangladesh,Pakistan,Bangladesh,1,0,0,0,False,False,False
2025-07-22,Hong Kong,Malaysia,Malaysia,0,0,0,0,True,True,True
2025-07-22,Malawi,Rwanda,Rwanda,0,0,0,0,True,True,True
2025-07-22,Samoa,Singapore,Singapore,0,0,0,0,True,True,True
2025-07-22,South Africa,New Zealand,New Zealand,0,0,0,0,True,True,True
2025-07-22,West Indies,Australia,Australia,0,0,0,0,True,True,True
2025-07-23,Bahrain,Malawi,Bahrain,1,1,1,1,True,True,True
2025-07-23,Kenya,United Arab Emirates,United Arab Emirates,0,0,0,0,True,True,True
2025-07-23,Malaysia,Singapore,Malaysia,1,1,1,1,True,True,True
2025-07-23,Rwanda,Malawi,Malawi,0,1,1,1,False,False,False
2025-07-23,Samoa,Hong Kong,Hong Kong,0,0,0,0,True,True,True
2025-07-24,Hong Kong,Singapore,Hong Kong,1,1,1,1,True,True,True
2025-07-24,New Zealand,Zimbabwe,New Zealand,1,1,1,1,True,True,True
2025-07-24,Pakistan,Bangladesh,Pakistan,1,1,1,1,True,True,True
2025-07-24,Samoa,Malaysia,Malaysia,0,0,0,0,True,True,True
2025-07-25,Bahrain,Rwanda,Bahrain,1,1,1,1,True,True,True
2025-07-25,Hungary,Luxembourg,Hungary,1,0,0,0,False,False,False
2025-07-25,Hungary,Romania,Romania,0,1,0,0,False,True,True
2025-07-25,Kenya,Uganda,Uganda,0,0,0,0,True,True,True
2025-07-25,Malawi,Bahrain,Bahrain,0,0,0,0,True,True,True
2025-07-25,Romania,Austria,Austria,0,1,1,1,False,False,False
2025-07-25,West Indies,Australia,Australia,0,0,0,0,True,True,True
2025-07-26,Austria,Luxembourg,Austria,1,1,1,1,True,True,True
2025-07-26,Finland,Estonia,Estonia,0,0,0,0,True,True,True
2025-07-26,Hong Kong,Malaysia,Malaysia,0,0,0,0,True,True,True
2025-07-26,Hungary,Austria,Austria,0,0,0,0,True,True,True
2025-07-26,New Zealand,South Africa,New Zealand,1,0,0,0,False,False,False
2025-07-26,Romania,Luxembourg,Romania,1,1,1,1,True,True,True
2025-07-26,Rwanda,Malawi,Malawi,0,1,0,0,False,True,True
2025-07-26,United Arab Emirates,Nigeria,United Arab Emirates,1,1,1,1,True,True,True
2025-07-26,West Indies,Australia,Australia,0,0,0,0,True,True,True
2025-07-27,Bahrain,Malawi,Bahrain,1,1,1,1,True,True,True
2025-07-27,Estonia,Finland,Finland,0,1,1,1,False,False,False
2025-07-27,Hungary,Luxembourg,Hungary,1,1,1,1,True,True,True
2025-07-27,Nigeria,Kenya,Kenya,0,0,0,0,True,True,True
2025-07-27,Uganda,United Arab Emirates,Uganda,1,1,1,1,True,True,True
2025-07-28,West Indies,Australia,Australia,0,0,0,0,True,True,True
2025-07-31,Pakistan,West Indies,Pakistan,1,1,1,1,True,True,True
2025-08-02,Pakistan,West Indies,West Indies,0,1,1,1,False,False,False
2025-08-02,Switzerland,Estonia,Switzerland,1,1,1,1,True,True,True
2025-08-03,Pakistan,West Indies,Pakistan,1,1,1,1,True,True,True
2025-08-03,Switzerland,Estonia,Switzerland,1,1,1,1,True,True,True
2025-08-03,Switzerland,Estonia,Switzerland,1,1,1,1,True,True,True
2025-08-07,Croatia,Cyprus,Cyprus,0,0,0,0,True,True,True
2025-08-07,Cyprus,Croatia,Cyprus,1,1,1,1,True,True,True
2025-08-08,Croatia,Cyprus,Cyprus,0,0,0,0,True,True,True
2025-08-08,Cyprus,Croatia,Cyprus,1,1,1,1,True,True,True
2025-08-08,Norway,France,Norway,1,1,0,0,True,False,False
2025-08-08,Sweden,Austria,Austria,0,0,0,0,True,True,True
2025-08-09,France,Austria,Austria,0,0,0,0,True,True,True
2025-08-09,Norway,Sweden,Norway,1,1,1,1,True,True,True
2025-08-10,Australia,South Africa,Australia,1,1,1,1,True,True,True
2025-08-10,Norway,Austria,Austria,0,0,0,0,True,True,True
2025-08-10,Sweden,France,France,0,1,1,1,False,False,False
2025-08-12,South Africa,Australia,South Africa,1,0,0,0,False,False,False
2025-08-14,Guernsey,Papua New Guinea,Papua New Guinea,0,1,1,1,False,False,False
2025-08-16,South Africa,Australia,Australia,0,0,0,0,True,True,True
2025-08-17,Norway,Hungary,Norway,1,1,1,1,True,True,True
2025-08-17,Sweden,Hungary,Sweden,1,0,0,0,False,False,False
2025-08-17,Sweden,Norway,Norway,0,0,0,0,True,True,True
2025-08-21,Czech Republic,Romania,Czech Republic,1,0,0,0,False,False,False
2025-08-21,Romania,Czech Republic,Romania,1,1,1,1,True,True,True
2025-08-22,Romania,Czech Republic,Czech Republic,0,1,1,1,False,False,False
2025-08-22,Romania,Czech Republic,Romania,1,1,1,1,True,True,True
2025-08-23,Austria,Belgium,Austria,1,1,1,1,True,True,True
2025-08-23,Belgium,Austria,Austria,0,0,0,0,True,True,True
2025-08-24,Belgium,Austria,Austria,0,0,0,0,True,True,True
2025-08-24,Belgium,Austria,Austria,0,0,0,0,True,True,True
2025-08-30,Netherlands,Bangladesh,Bangladesh,0,0,0,0,True,True,True
2025-08-30,Pakistan,United Arab Emirates,Pakistan,1,1,1,1,True,True,True
2025-09-01,Netherlands,Bangladesh,Bangladesh,0,0,0,0,True,True,True
2025-09-03,Zimbabwe,Sri Lanka,Sri Lanka,0,0,0,0,True,True,True
2025-09-04,Pakistan,United Arab Emirates,Pakistan,1,1,1,1,True,True,True
2025-09-06,Sri Lanka,Zimbabwe,Zimbabwe,0,1,1,1,False,False,False
2025-09-07,Zimbabwe,Sri Lanka,Sri Lanka,0,0,0,0,True,True,True
2025-09-10,South Africa,England,South Africa,1,0,0,0,False,False,False
2025-09-10,United Arab Emirates,India,India,0,0,0,0,True,True,True
2025-09-11,Hong Kong,Bangladesh,Bangladesh,0,1,1,1,False,False,False
2025-09-12,England,South Africa,England,1,1,1,1,True,True,True
2025-09-12,Eswatini,Mozambique,Eswatini,1,0,0,0,False,False,False
2025-09-12,Eswatini,Mozambique,Eswatini,1,1,1,1,True,True,True
2025-09-12,Pakistan,Oman,Pakistan,1,1,1,1,True,True,True
2025-09-13,Bangladesh,Sri Lanka,Sri Lanka,0,0,0,0,True,True,True
2025-09-13,Eswatini,Mozambique,Eswatini,1,1,1,1,True,True,True
2025-09-14,Pakistan,India,India,0,0,0,0,True,True,True
2025-09-15,Hong Kong,Sri Lanka,Sri Lanka,0,0,0,0,True,True,True
2025-09-15,United Arab Emirates,Oman,United Arab Emirates,1,1,1,1,True,True,True
2025-09-15,Zimbabwe,Namibia,Zimbabwe,1,0,0,0,False,False,False
2025-09-16,Namibia,Zimbabwe,Zimbabwe,0,1,1,1,False,False,False
2025-09-17,Ireland,England,England,0,0,0,0,True,True,True
2025-09-17,Pakistan,United Arab Emirates,Pakistan,1,1,1,1,True,True,True
2025-09-18,Namibia,Zimbabwe,Namibia,1,0,0,0,False,False,False
2025-09-19,India,Oman,India,1,1,1,1,True,True,True
2025-09-20,Sri Lanka,Bangladesh,Bangladesh,0,1,1,1,False,False,False
2025-09-21,Ireland,England,England,0,0,0,0,True,True,True
2025-09-21,Pakistan,India,India,0,0,0,0,True,True,True
2025-09-23,Sri Lanka,Pakistan,Pakistan,0,0,0,0,True,True,True
2025-09-24,India,Bangladesh,India,1,1,1,1,True,True,True
2025-09-25,Pakistan,Bangladesh,Pakistan,1,1,1,1,True,True,True
2025-09-26,Botswana,Tanzania,Tanzania,0,0,0,0,True,True,True
2025-09-26,Malawi,Nigeria,Nigeria,0,1,1,1,False,False,False
2025-09-26,Namibia,Kenya,Namibia,1,1,1,1,True,True,True
2025-09-26,Uganda,Zimbabwe,Zimbabwe,0,1,1,1,False,False,False
2025-09-27,Nepal,West Indies,Nepal,1,1,1,1,True,True,True
2025-09-28,Malawi,Kenya,Malawi,1,0,0,0,False,False,False
2025-09-28,Namibia,Nigeria,Namibia,1,1,1,1,True,True,True
2025-09-28,Pakistan,India,India,0,0,0,0,True,True,True
2025-09-28,Tanzania,Uganda,Tanzania,1,0,0,0,False,False,False
2025-09-28,Zimbabwe,Botswana,Zimbabwe,1,1,1,1,True,True,True
2025-09-29,Kuwait,Oman,Oman,0,1,1,1,False,False,False
2025-09-29,Nepal,West Indies,Nepal,1,1,1,1,True,True,True
2025-09-30,Botswana,Uganda,Uganda,0,0,0,0,True,True,True
2025-09-30,Malawi,Namibia,Namibia,0,0,0,0,True,True,True
2025-09-30,Nepal,West Indies,West Indies,0,1,1,1,False,False,False
2025-09-30,Nigeria,Kenya,Kenya,0,1,1,1,False,False,False
2025-09-30,Zimbabwe,Tanzania,Zimbabwe,1,1,0,0,True,False,False
2025-10-01,New Zealand,Australia,Australia,0,0,0,0,True,True,True
2025-10-02,Kenya,Zimbabwe,Zimbabwe,0,0,0,0,True,True,True
2025-10-02,Namibia,Tanzania,Namibia,1,1,1,1,True,True,True
2025-10-02,Nigeria,Botswana,Nigeria,1,1,1,1,True,True,True
2025-10-02,Uganda,Malawi,Uganda,1,1,1,1,True,True,True
2025-10-04,Kenya,Tanzania,Kenya,1,0,0,0,False,False,False
2025-10-04,Malawi,Botswana,Malawi,1,1,1,1,True,True,True
2025-10-04,Namibia,Zimbabwe,Zimbabwe,0,1,1,1,False,False,False
2025-10-04,New Zealand,Australia,Australia,0,0,0,0,True,True,True
2025-10-04,Uganda,Nigeria,Uganda,1,1,1,1,True,True,True
2025-10-08,Nepal,Kuwait,Nepal,1,1,0,0,True,False,False
2025-10-08,Qatar,United Arab Emirates,United Arab Emirates,0,0,0,0,True,True,True
2025-10-08,Samoa,Oman,Oman,0,0,0,0,True,True,True
2025-10-09,Kuwait,Japan,Japan,0,0,0,0,True,True,True
2025-10-09,Malaysia,Qatar,Qatar,0,1,1,1,False,False,False
2025-10-09,Papua New Guinea,Samoa,Samoa,0,1,1,1,False,False,False
2025-10-10,Japan,Nepal,Nepal,0,1,1,1,False,False,False
2025-10-10,Malaysia,United Arab Emirates,United Arab Emirates,0,0,0,0,True,True,True
2025-10-10,Oman,Papua New Guinea,Oman,1,1,1,1,True,True,True
2025-10-11,South Africa,Namibia,Namibia,0,0,0,0,True,True,True
2025-10-12,Japan,Samoa,Japan,1,1,1,1,True,True,True
2025-10-12,Nepal,United Arab Emirates,Nepal,1,0,0,0,False,False,False
2025-10-12,Oman,Qatar,Oman,1,1,1,1,True,True,True
2025-10-13,Nepal,Qatar,Nepal,1,1,1,1,True,True,True
2025-10-13,United Arab Emirates,Oman,Oman,0,0,0,0,True,True,True
2025-10-15,Japan,Qatar,Qatar,0,1,1,1,False,False,False
2025-10-15,Nepal,Oman,Nepal,1,0,0,0,False,False,False
2025-10-15,United Arab Emirates,Samoa,United Arab Emirates,1,1,1,1,True,True,True
2025-10-16,Japan,United Arab Emirates,United Arab Emirates,0,1,0,0,False,True,True
2025-10-16,Samoa,Qatar,Qatar,0,0,0,0,True,True,True
2025-10-17,Japan,Oman,Oman,0,0,0,0,True,True,True
2025-10-17,Nepal,Samoa,Nepal,1,1,1,1,True,True,True
2025-10-18,Austria,Romania,Romania,0,1,1,1,False,False,False
2025-10-18,Romania,Austria,Austria,0,0,0,0,True,True,True
2025-10-19,Austria,Romania,Austria,1,1,1,1,True,True,True
2025-10-19,Romania,Austria,Austria,0,0,0,0,True,True,True
2025-10-20,England,New Zealand,England,1,0,1,1,False,True,True
2025-10-27,West Indies,Bangladesh,West Indies,1,1,0,0,True,False,False
2025-10-28,South Africa,Pakistan,South Africa,1,0,0,0,False,False,False
2025-10-29,West Indies,Bangladesh,West Indies,1,1,1,1,True,True,True
2025-10-31,Bangladesh,West Indies,West Indies,0,0,0,0,True,True,True
2025-10-31,Cyprus,Serbia,Cyprus,1,0,0,0,False,False,False
2025-10-31,Cyprus,Serbia,Cyprus,1,1,1,1,True,True,True
2025-10-31,India,Australia,Australia,0,1,1,1,False,False,False
2025-10-31,South Africa,Pakistan,Pakistan,0,0,0,0,True,True,True
2025-11-01,Bulgaria,Serbia,Bulgaria,1,1,1,1,True,True,True
2025-11-01,Serbia,Bulgaria,Bulgaria,0,0,0,0,True,True,True
2025-11-01,South Africa,Pakistan,Pakistan,0,0,0,0,True,True,True
2025-11-02,Australia,India,India,0,0,1,1,True,False,False
2025-11-02,Bulgaria,Cyprus,Cyprus,0,0,0,0,True,True,True
2025-11-02,Cyprus,Bulgaria,Cyprus,1,1,0,0,True,False,False
2025-11-03,Bulgaria,Cyprus,Cyprus,0,0,0,0,True,True,True
2025-11-03,Bulgaria,Cyprus,Cyprus,0,0,0,0,True,True,True
2025-11-05,West Indies,New Zealand,West Indies,1,0,1,1,False,True,True
2025-11-06,India,Australia,India,1,1,1,1,True,True,True
2025-11-06,Myanmar,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-11-06,New Zealand,West Indies,New Zealand,1,0,0,0,False,False,False
2025-11-06,Timor-Leste,Indonesia,Indonesia,0,1,0,0,False,True,True
2025-11-07,Timor-Leste,Myanmar,Myanmar,0,0,0,0,True,True,True
2025-11-08,Indonesia,Myanmar,Indonesia,1,1,1,1,True,True,True
